quote,name,date
"The thoughtful use of computing in humanistic inquiry and the thinking through of computing from the perspective of the traditions of the humanities.","Geoffrey Rockwell","2012-01-01"
"Digital humanities is the use of advanced digital technologies (and the extended social and discursive worlds these technologies make possible) to investigate questions in the humanities.","Micki McGee","2012-01-01"
"Researchers working with digital materials, tools, or methods in the humanities; researchers creating new digital materials, tools, or methods in the humanities; researchers studying computing using humanities methods.","Stan Ruecker","2012-01-01"
"All the ways that the humanities and digital technologies intersect.","Rebecca Davis","2012-01-01"
"Digital Humanities is the use of digital technologies to generate and answer new questions relevant to humanities scholar and to share and transform scholarship and its modes of creation/dissemination.","Michael Widner","2012-01-01"
"A diverse and still emerging field that includes the practice of humanities research in and through information technology. It also includes the development of digital educational/research/teaching/archival/publishing resources for the specific use and study of the humanities and interconnected disciplines. The digital humanities is also concerned with an exploration of how humanities may evolve through their engagement with technology.","Ernesto Priego","2012-01-01"
"Digital scholarship in the humanities","Kiyonori Nagasaki","2012-01-01"
"Digital Humanities as a whole is something I am extremely reluctant to define, because any definition will inevitably cause controversy. However, I have not heard any dispute over my work being part of digital humanities, and that work involves computationally analyzing data sets from the field of Slavic linguistics, and de-siloing scholarship in that same field through a collaboratively authored academic wiki.","Quinn Dombrowski","2012-01-01"
"The building and use of digital tools for studying the humanities.","David N. Wright","2012-01-01"
"The humanities in and for a digital age","Laurie N. Taylor","2012-01-01"
"Previously, I defined DH as an umbrella term for something like the use of technology to study human cultures and the study of the effects of digital technology on human cultures. Today, I would add that DH has (or should have) a self-conscious reflection on the technical aspects of these endeavours, whether that means acquiring and making use of the programming skills to produce new tools for digital study of human culture, examining the methodological problems of using these tools, or theorising the way their underlying technologies affect human society and the material objects of human culture. That said, I am worried that the theorising of the Digital Humanities, the development of infrastructure to support the Digital Humanities, and the opportunity of exploiting the big data sphere of the internet are collectively having the effect of marginalising the study of traditional objects of study in the Humanities, particularly those of the more distant past.","Scott Kleinman","2012-01-01"
"The digital humanities is about creating people. Creating people who intersect with and apply the tools and methods of computer science using the principles, values, and techniques of the humanities.","Craig Bellamy","2012-01-01"
"Making stuff, and using it to collaborate and connect with the public.","Roger Whitson","2012-01-01"
"A community of practice using and critiquing digital tools to further humanities study.","Amanda French","2012-01-01"
"Digital Humanities (DH) is an umbrella term for a variety of practices, methodologies, and forms of scholarship unified by a mutual interest in the humanities and the digital. The Digital Humanities, ever plural, at once denote a social community, a tactical term, a mode of research, and an object of research.","dana solomon","2012-01-01"
"If you think you are doing it, then you probably are, but the UCLDH definition is: the application of computational methods to humanities research or to cultural heritage; or of humanities research methods to digital phenomena.","Claire Warwick","2012-01-01"
"At its simplest, DH is the utilization of computers and computational tools for the exploration, analysis, and production of humanistic knowledge.","Jennifer Guiliano","2012-01-01"
"You don't.","erochest","2012-01-01"
"The intersection between Arts & Humanities disciplines and technology. A space where new tools are used and developed, and where new ways of looking at and preforming researching become possible. Most of all, it is fun. Fun because it is challenging, each day, every day.","David Beavan","2012-01-01"
